Date,AAPL,RELIANCE.NS,TCS.NS,MARUTI.NS,HDFCBANK.NS,AMZN,ICICIBANK.NS,INFY.NS
28-08-2023,0.014159938,0.011751796,0.009553064,0.007792061,0.008451611,0.022653087,0.008278981,0.018834519
29-08-2023,0.014390907,0.011128094,0.009502729,0.007632849,0.007558205,0.022727598,0.008149573,0.018832332
30-08-2023,0.014882236,0.010954246,0.009543509,0.008296881,0.007622144,0.022699007,0.008223719,0.017686813
31-08-2023,0.014811956,0.01080035,0.009612253,0.008983931,0.007534373,0.022779667,0.008216804,0.017687384
01-09-2023,0.014811065,0.010836594,0.009709747,0.010265943,0.007532394,0.02143938,0.007282071,0.017445185
05-09-2023,0.014774977,0.009483521,0.008725189,0.010386061,0.007474307,0.021491953,0.00727239,0.009139503
06-09-2023,0.016104745,0.008805828,0.008618165,0.010399541,0.007946334,0.021593371,0.007487016,0.009176547
07-09-2023,0.016828171,0.008813391,0.00871185,0.010470374,0.007882891,0.021803151,0.007655762,0.009355033
08-09-2023,0.016813628,0.008343408,0.008722746,0.010473567,0.00806158,0.021721277,0.007715959,0.009247955
11-09-2023,0.016882123,0.008450593,0.00893368,0.010921939,0.007958421,0.022509892,0.007791215,0.009253429
12-09-2023,0.016817883,0.008605727,0.009943642,0.0107644,0.007314351,0.022120218,0.008053768,0.009281243
13-09-2023,0.01684193,0.008496341,0.009428902,0.010554448,0.007305491,0.022472608,0.008046123,0.009224668
14-09-2023,0.01699759,0.008140094,0.009342052,0.010264147,0.007191384,0.022234315,0.008025177,0.009210374
15-09-2023,0.016844362,0.007926475,0.009466556,0.010109858,0.007090644,0.022404357,0.007933824,0.009036198
18-09-2023,0.017207192,0.008045944,0.009123778,0.010082296,0.007876654,0.022428312,0.006703308,0.009529251
20-09-2023,0.015069431,0.008547483,0.008897163,0.01054284,0.010346186,0.017730357,0.006689695,0.009455436
21-09-2023,0.014834959,0.008494625,0.008779694,0.010657216,0.01038068,0.018985246,0.00848111,0.009385378
22-09-2023,0.014829911,0.008471145,0.008761577,0.01137237,0.010655922,0.018825433,0.008593688,0.009419369
25-09-2023,0.014819663,0.008346365,0.008880335,0.011158312,0.01066109,0.018988913,0.008686942,0.009927398
26-09-2023,0.015411338,0.008270553,0.008782902,0.011050248,0.010659376,0.020217168,0.008660469,0.010080532
27-09-2023,0.015476126,0.008563041,0.008782567,0.011025052,0.010584629,0.020221615,0.008465849,0.009728011
28-09-2023,0.015355009,0.008426626,0.009256134,0.01127864,0.010569697,0.019926866,0.008351591,0.01011139
