Simulation,Final_Portfolio_Value
733,1.659571897
734,1.352650065
735,1.165383063
736,1.126226294
737,1.287864742
738,1.20785511
739,1.159673432
740,1.426825167
741,1.17677876
742,1.061234445
743,1.158862818
744,1.240993739
745,1.366263115
746,0.963567716
747,1.371887936
748,1.154748015
749,1.217406462
750,1.124975765
751,1.057735809
752,1.01909052
753,1.171756581
754,0.891665009
755,1.545017958
756,1.255168298
757,1.507376817
758,1.222268442
759,1.220287432
760,1.041015564
761,1.136239452
762,1.090299002
763,1.398418848
764,1.454847963
765,1.372052894
766,1.140272033
767,1.173651982
768,1.076985198
769,1.104636528
770,1.229409338
771,1.189440264
772,1.228521341
773,1.226881643
774,1.283157163
775,1.18781939
776,1.112836713
777,1.307896879
778,1.031890517
779,1.067847277
780,1.186419188
781,1.262191763
782,1.109626377
783,1.162395541
784,1.492657467
785,1.245696616
786,1.203781723
787,1.222082946
788,1.410635767
789,1.233791867
790,0.969579274
791,1.140592532
792,1.188193703
793,1.382133713
794,0.962922804
795,1.290407872
796,1.219854537
797,1.356592321
798,1.527998271
799,1.099181072
800,1.166245112
801,1.319291798
802,1.427710659
803,1.19106895
804,1.168558376
805,1.197830682
806,1.342007345
807,1.253439539
808,1.133629645
809,1.073290331
810,1.09153396
811,1.16555204
812,1.135645889
813,1.222964071
814,1.211506604
815,1.382402157
816,1.340719813
817,1.147017111
818,1.256838176
819,1.289646084
820,1.368952584
821,1.329024489
822,1.108607724
823,1.311608543
824,1.553523361
825,1.070324446
826,1.291274233
827,1.470685697
828,1.136557446
829,1.181145365
830,1.074472602
831,1.136035435
832,0.995171886
833,1.182349504
834,1.18823757
835,1.229205117
836,1.078479135
837,1.069085097
838,1.209476828
839,1.418402142
840,1.334844053
841,1.491529795
842,1.160091108
843,1.291382649
844,1.244212742
845,1.100639106
846,1.320971994
847,0.874689671
848,1.331195215
849,1.355528397
850,1.129233788
851,1.218268167
852,1.096425497
853,1.303804577
854,1.162053252
855,1.430227312
856,1.326556324
857,1.272054606
858,1.087762006
859,1.092513906
860,1.095299977
861,1.096121778
862,0.976126376
863,1.286595704
864,1.650648789
865,1.201908808
866,1.71616203
867,1.020207731
868,1.179410253
869,1.225838078
870,1.279593886
871,1.180492173
872,1.610695123
873,1.284819347
874,1.257730212
875,1.286616513
876,1.12641015
877,1.382142072
878,1.576501598
879,0.908558429
880,1.479121033
881,1.186179023
882,1.329619075
883,1.464489066
884,1.43837281
885,1.114052317
886,1.068750129
887,1.662742822
888,1.130949223
889,1.166369363
890,0.9416363
891,1.281555579
892,1.152580353
893,1.205165834
894,0.970968586
895,1.313624731
896,1.188167845
897,1.546180833
898,1.061195853
899,1.123597652
900,1.131331473
901,0.953374083
902,1.356995492
903,0.958024374
904,1.07613967
905,0.907288775
906,1.235498406
907,1.428104309
908,1.201078175
909,1.285898674
910,1.186702511
911,1.171310045
912,1.091734758
913,1.330829982
914,1.44083157
915,1.128997836
916,1.167899953
917,1.237579303
918,1.162480029
919,1.323074087
920,1.252310592
921,1.117670571
922,1.091841743
923,1.290670698
924,1.196347624
925,0.915449971
926,1.249474481
927,1.354975214
928,1.046310883
929,1.377213556
930,1.403135242
931,1.312630447
932,1.361422089
933,1.061445444
934,1.05720951
935,1.409239765
936,1.185635548
937,1.189202638
938,1.187233237
939,1.456762694
940,1.038353804
941,1.433197483
942,1.2801312
943,1.069042366
944,0.904914618
945,1.132283122
946,1.310782683
947,1.216019475
948,1.026858047
949,1.168538715
950,1.357765279
951,1.466144498
952,1.224210795
953,1.321961334
954,1.298588767
955,1.180314327
956,1.172369106
957,1.19802594
958,1.204011824
959,1.071455048
960,1.44090012
961,1.185112514
962,0.946379885
963,1.301046916
964,1.19335408
965,1.500786814
966,1.165837788
967,1.023918978
968,1.151054248
969,1.14946762
970,1.34689393
971,1.34345211
972,0.900393866
973,1.115818531
974,1.060655793
975,1.2636156
976,1.596870846
977,1.228208412
978,1.076334269
979,1.003160306
980,1.22322789
981,1.02601462
982,1.354156962
983,1.199734037
984,1.345883706
985,1.163997816
986,1.139702157
987,1.486143767
988,1.431519154
989,0.866157853
990,1.033533115
991,1.126515737
992,1.113721053
993,1.363129864
994,1.310616633
995,1.466273911
996,1.228842066
997,1.23541143
998,1.26855684
999,1.29290784
1000,1.489794444
1001,1.198948547
1002,1.26814428
1003,1.219638442
1004,1.338946436
1005,0.924729952
1006,1.167250856
1007,1.131037733
1008,1.171027244
1009,1.198780564
1010,1.186247042
1011,1.278401571
1012,1.333663599
1013,0.999552525
1014,1.370736084
1015,1.097343597
1016,1.322328218
1017,1.006768188
1018,1.336958467
1019,1.312375247
1020,1.309662444
1021,1.063833174
1022,1.196480466
1023,0.963477575
1024,1.201399445
1025,1.339541493
1026,1.304378529
1027,1.191452927
1028,1.072314707
1029,1.169043147
1030,1.174825026
1031,1.150358486
1032,1.102593897
1033,1.221148847
1034,1.322029881
1035,1.111197201
1036,1.144129261
1037,1.117069481
1038,1.187247986
1039,1.002030266
1040,1.116553787
1041,1.194828803
1042,1.144364216
1043,1.243238597
1044,1.192392707
1045,1.15870527
1046,1.184236935
1047,1.514100564
1048,1.203443094
1049,1.426015998
1050,1.289122842
1051,1.308962163
1052,1.158724433
1053,1.335046139
1054,1.050813859
1055,1.230314883
1056,0.97916441
1057,1.041220637
1058,1.287976999
1059,1.285668229
1060,1.190487355
1061,1.353102083
1062,1.259948396
1063,1.20836684
1064,1.265773554
1065,0.939358022
1066,1.27279794
1067,1.221512918
1068,1.194826281
1069,1.216021752
1070,1.038486892
1071,1.466940064
1072,1.024476443
1073,1.374357954
1074,1.539527575
1075,1.195320519
1076,1.514374223
1077,1.227950461
1078,1.235053749
1079,1.317516397
1080,1.060421745
1081,1.398811461
1082,1.126205037
1083,1.119016485
1084,1.045878613
1085,1.197273308
1086,1.111683992
1087,1.140386406
1088,1.094258873
1089,1.125636734
1090,1.300140443
1091,0.947950625
1092,1.095175941
1093,1.152882598
1094,1.460778283
1095,1.139953843
1096,1.107741669
1097,0.925422625
1098,1.232719916
1099,1.416127065
1100,0.999654206
1101,1.081860988
1102,1.115247732
1103,1.745437198
1104,1.396144791
1105,1.299689
1106,1.153318331
1107,1.324790784
1108,1.151721062
1109,1.164467166
1110,1.272792954
1111,1.031012011
1112,1.238151151
1113,1.133196598
1114,1.164716701
1115,1.020717895
1116,1.188086182
1117,1.441532678
1118,1.520924125
1119,1.199133769
1120,1.002284354
1121,1.225730573
1122,1.126729364
1123,1.254839689
1124,1.153698497
1125,1.194608867
1126,1.138190432
1127,1.29837633
1128,1.261893174
1129,0.928780234
1130,1.581936688
1131,1.263398302
1132,1.029556048
1133,1.194400051
1134,1.208257071
1135,1.243897577
1136,1.152639415
1137,1.042694361
1138,1.379253952
1139,1.408274398
1140,0.964774717
1141,1.004505741
1142,1.091422885
1143,1.181961381
1144,1.131868437
1145,1.16978467
1146,1.451962051
1147,1.258866585
1148,1.00042198
1149,1.141880978
1150,1.433088796
1151,1.12739077
1152,1.479358999
1153,1.169563274
1154,1.314136744
1155,1.381111433
1156,1.084218419
1157,0.928113433
1158,1.157696733
1159,1.397850142
1160,1.103066866
1161,1.04589631
